epoch,link,log type,data
0.00,0,BSYS,70578,INFO,etmark 1739683801
0.00,2,DATA,SOFT2,68530,2937
0.00,3,DATA,SOFT2,68531,2559
0.00,1,DATA,SOFT2,68637,2951
0.00,2,DATA,SOFT2,69030,2937
0.00,3,DATA,SOFT2,69031,2559
0.00,1,DATA,SOFT2,69137,2951
0.00,2,DATA,SOFT2,69530,2937
0.00,3,DATA,SOFT2,69531,2559
0.00,1,DATA,SOFT2,69637,2951
0.00,2,DATA,SOFT2,70030,2936
0.00,3,DATA,SOFT2,70031,2559
0.00,1,DATA,SOFT2,70137,2951
0.00,2,DATA,SOFT2,70530,2937
0.00,3,DATA,SOFT2,70531,2559
0.00,1,DATA,SOFT2,70637,2951
0.00,2,DATA,SOFT2,71030,2937
0.00,3,DATA,SOFT2,71031,2559
0.00,1,DATA,SOFT2,71137,2951
0.00,2,DATA,SOFT2,71530,2937
0.00,3,DATA,SOFT2,71531,2559
0.00,1,DATA,SOFT2,71637,2951
0.00,2,DATA,SOFT2,72030,2937
0.00,3,DATA,SOFT2,72031,2559
0.00,1,DATA,SOFT2,72137,2951
0.00,2,DATA,SOFT2,72530,2937
0.00,3,DATA,SOFT2,72531,2559
0.00,1,DATA,SOFT2,72637,2951
0.00,2,DATA,SOFT2,73030,2937
0.00,3,DATA,SOFT2,73031,2559
0.00,1,DATA,SOFT2,73137,2951
0.00,2,DATA,SOFT2,73530,2937
0.00,3,DATA,SOFT2,73531,2560
0.00,1,DATA,SOFT2,73637,2951
0.00,2,DATA,SOFT2,74030,2937
0.00,3,DATA,SOFT2,74031,2560
0.00,1,DATA,SOFT2,74137,2951
0.00,2,DATA,SOFT2,74530,2937
0.00,3,DATA,SOFT2,74531,2559
0.00,1,DATA,SOFT2,74637,2951
0.00,2,DATA,SOFT2,75030,2937
0.00,3,DATA,SOFT2,75031,2559
0.00,1,DATA,SOFT2,75137,2951
0.00,2,DATA,SOFT2,75530,2937
0.00,3,DATA,SOFT2,75531,2560
0.00,1,DATA,SOFT2,75637,2951
0.00,2,DATA,SOFT2,76030,2937
0.00,3,DATA,SOFT2,76031,2560
0.00,1,DATA,SOFT2,76137,2951
0.00,2,DATA,SOFT2,76530,2937
0.00,3,DATA,SOFT2,76531,2560
0.00,1,DATA,SOFT2,76637,2951
0.00,2,DATA,SOFT2,77030,2937
0.00,3,DATA,SOFT2,77031,2560
0.00,1,DATA,SOFT2,77137,2951
0.00,2,DATA,SOFT2,77530,2937
0.00,3,DATA,SOFT2,77531,2560
0.00,1,DATA,SOFT2,77637,2951
0.00,2,DATA,SOFT2,78030,2937
0.00,3,DATA,SOFT2,78031,2560
0.00,1,DATA,SOFT2,78137,2951
0.00,0,BSYS,80448,INFO,etmark 1739683811
1739683811.00,0,BSYS,80457,INFO,sa et 1739683811
1739683811.00,0,BSYS,80458,INFO,next sa et 1739685011
1739683811.00,0,BSYS,80459,INFO,setup mes TO to 7300457
1739683811.00,0,BSYS,80460,INFO,ss et 1739683811
1739683811.02,0,BSYS,80463,INFO,disable SM bus
1739683811.02,0,BSYS,80465,INFO,next ss et 1739683871
1739683821.11,0,BSYS,90427,INFO,etmark 1739683821
1739683831.05,0,BSYS,100452,INFO,etmark 1739683831
1739683840.95,0,BSYS,110431,INFO,etmark 1739683841
1739683851.05,0,BSYS,120456,INFO,etmark 1739683851
1739683860.95,0,BSYS,130433,INFO,etmark 1739683861
1739683871.00,0,BSYS,140405,INFO,enable SM bus
1739683871.00,0,BSYS,140406,INFO,ss until ms 145406
1739683871.05,0,BSYS,140460,INFO,etmark 1739683871
1739683873.58,1,DATA,SOFT2,611,2950
1739683873.61,2,DATA,SOFT2,594,2936
1739683873.66,3,DATA,SOFT2,646,2565
1739683874.08,1,DATA,SOFT2,1111,2950
1739683874.11,2,DATA,SOFT2,1094,2936
1739683874.16,3,DATA,SOFT2,1146,2565
1739683874.57,1,DATA,SOFT2,1611,2950
1739683874.61,2,DATA,SOFT2,1594,2936
1739683874.66,3,DATA,SOFT2,1646,2565
1739683875.07,1,DATA,SOFT2,2111,2950
1739683875.11,2,DATA,SOFT2,2094,2936
1739683875.16,3,DATA,SOFT2,2146,2565
1739683875.57,1,DATA,SOFT2,2611,2950
1739683875.60,2,DATA,SOFT2,2594,2936
1739683875.66,3,DATA,SOFT2,2646,2565
1739683875.93,0,BSYS,145406,INFO,disable SM bus
1739683875.93,0,BSYS,145407,INFO,next ss et 1739683931
1739683880.95,0,BSYS,150436,INFO,etmark 1739683881
1739683891.05,0,BSYS,160465,INFO,etmark 1739683891
1739683900.95,0,BSYS,170442,INFO,etmark 1739683901
1739683911.05,0,BSYS,180468,INFO,etmark 1739683911
1739683920.95,0,BSYS,190445,INFO,etmark 1739683921
1739683931.00,0,BSYS,200419,INFO,enable SM bus
1739683931.00,0,BSYS,200420,INFO,ss until ms 205420
1739683931.05,0,BSYS,200473,INFO,etmark 1739683931
1739683933.49,1,DATA,SOFT2,527,2949
1739683933.63,2,DATA,SOFT2,625,2934
1739683933.66,3,DATA,SOFT2,637,2570
1739683933.99,1,DATA,SOFT2,1027,2949
1739683934.13,2,DATA,SOFT2,1125,2934
1739683934.16,3,DATA,SOFT2,1137,2570
1739683934.49,1,DATA,SOFT2,1527,2949
1739683934.62,2,DATA,SOFT2,1625,2934
1739683934.66,3,DATA,SOFT2,1637,2570
1739683934.99,1,DATA,SOFT2,2027,2949
1739683935.12,2,DATA,SOFT2,2125,2934
1739683935.16,3,DATA,SOFT2,2137,2570
1739683935.49,1,DATA,SOFT2,2527,2949
1739683935.62,2,DATA,SOFT2,2625,2934
1739683935.65,3,DATA,SOFT2,2637,2570
1739683935.93,0,BSYS,205420,INFO,disable SM bus
1739683935.93,0,BSYS,205421,INFO,next ss et 1739683991
1739683940.95,0,BSYS,210448,INFO,etmark 1739683941
1739683951.06,0,BSYS,220478,INFO,etmark 1739683951
1739683960.95,0,BSYS,230454,INFO,etmark 1739683961
1739683971.07,0,BSYS,240495,INFO,etmark 1739683971
1739683980.94,0,BSYS,250475,INFO,etmark 1739683981
1739683991.00,0,BSYS,260449,INFO,enable SM bus
1739683991.00,0,BSYS,260450,INFO,ss until ms 265450
1739683991.05,0,BSYS,260500,INFO,etmark 1739683991
1739683993.60,1,DATA,SOFT2,625,2947
1739683993.64,2,DATA,SOFT2,639,2932
1739683993.68,3,DATA,SOFT2,631,2575
1739683994.09,1,DATA,SOFT2,1125,2947
